,Regressive Imagery Dictionary,Regressive Imagery Dictionary>emotions,Regressive Imagery Dictionary>emotions>affection,Regressive Imagery Dictionary>emotions>aggression,Regressive Imagery Dictionary>emotions>anxiety,Regressive Imagery Dictionary>emotions>expressive_beh,Regressive Imagery Dictionary>emotions>glory,Regressive Imagery Dictionary>emotions>positive_affect,Regressive Imagery Dictionary>emotions>sadness,Regressive Imagery Dictionary>primary,Regressive Imagery Dictionary>primary>defensive_symbol,Regressive Imagery Dictionary>primary>defensive_symbol>chaos,Regressive Imagery Dictionary>primary>defensive_symbol>diffusion,Regressive Imagery Dictionary>primary>defensive_symbol>passivity,Regressive Imagery Dictionary>primary>defensive_symbol>random movement,Regressive Imagery Dictionary>primary>defensive_symbol>voyage,Regressive Imagery Dictionary>primary>icarian_im,Regressive Imagery Dictionary>primary>icarian_im>ascend,Regressive Imagery Dictionary>primary>icarian_im>depth,Regressive Imagery Dictionary>primary>icarian_im>descent,Regressive Imagery Dictionary>primary>icarian_im>fire,Regressive Imagery Dictionary>primary>icarian_im>height,Regressive Imagery Dictionary>primary>icarian_im>water,Regressive Imagery Dictionary>primary>need,Regressive Imagery Dictionary>primary>need>anality,Regressive Imagery Dictionary>primary>need>orality,Regressive Imagery Dictionary>primary>need>sex,Regressive Imagery Dictionary>primary>regr_knol,Regressive Imagery Dictionary>primary>regr_knol>brink-passage,Regressive Imagery Dictionary>primary>regr_knol>concreteness,Regressive Imagery Dictionary>primary>regr_knol>counscious,Regressive Imagery Dictionary>primary>regr_knol>narcissism,Regressive Imagery Dictionary>primary>regr_knol>timelessnes,Regressive Imagery Dictionary>primary>regr_knol>timelessnes>test5,Regressive Imagery Dictionary>primary>regr_knol>unknow,Regressive Imagery Dictionary>primary>sensation,Regressive Imagery Dictionary>primary>sensation>cold,Regressive Imagery Dictionary>primary>sensation>gen_sensation,Regressive Imagery Dictionary>primary>sensation>hard,Regressive Imagery Dictionary>primary>sensation>odor,Regressive Imagery Dictionary>primary>sensation>soft,Regressive Imagery Dictionary>primary>sensation>sound,Regressive Imagery Dictionary>primary>sensation>taste,Regressive Imagery Dictionary>primary>sensation>touch,Regressive Imagery Dictionary>primary>sensation>vision,Regressive Imagery Dictionary>secondary,Regressive Imagery Dictionary>secondary>abstract_tought,Regressive Imagery Dictionary>secondary>instru_behavior,Regressive Imagery Dictionary>secondary>moral_imperative,Regressive Imagery Dictionary>secondary>order,Regressive Imagery Dictionary>secondary>restraint,Regressive Imagery Dictionary>secondary>social_behavior,Regressive Imagery Dictionary>secondary>temporal_repere
Harrison TechnicolorTime 1967,25.3121490941391,3.02512276467729,0.454187406774264,1.33742269596259,0.182680543684113,0.410612231216585,0.216199909497712,0.28659057770627,0.137429399835755,12.9217155211423,1.34915447399735,0.0754185730805973,0.110613907184876,0.377092865402987,0.380444801984346,0.405584326344546,1.74971089546986,0.318433975229189,0.194412321718873,0.191060385137513,0.196088290009553,0.325137848391908,0.524578074982821,0.759213635678013,0.0821224462433171,0.620108267551578,0.056982921883118,5.84410142960095,0.492734677459902,4.06757504148022,0.102234065731476,1.04580421338428,0.0586588901737979,0,0.0770945413712773,3.21953508639617,0.249719275311311,0.113965843766236,0.219551846079072,0.083798414533997,0.0502790487203982,0.727370238155094,0.026815492650879,0.162568924195954,1.58546600298322,9.36531080831951,1.91563175624717,1.51842727135603,0.372064960530947,0.226255719241792,0.424019977542025,2.27764090703404,2.63127021636751
Herbert HeavenMakers 1968,27.3193703846224,3.34597694830777,0.659666868231543,1.22404852216297,0.34815751378887,0.212559324207942,0.375643633298518,0.366481593461968,0.159419493155956,13.4791930075312,1.42561339856706,0.0897879903981823,0.247375075586829,0.652337236362304,0.298682498671504,0.137430597548238,1.50257453319407,0.192402836567533,0.251039891521448,0.223553772011801,0.194235244534843,0.410459384677405,0.23088340388104,0.659666868231543,0.0934528063328019,0.447107544023601,0.11910651787514,6.14589632235721,0.514906638814066,3.58235757609074,0.379308449233137,1.33399300020157,0.11360929397321,0,0.221721364044491,3.74544188518132,0.12093892584245,0.247375075586829,0.221721364044491,0.212559324207942,0.144760229417478,0.725633555054697,0.0531398310519854,0.164916717057886,1.85439686291756,10.4942004287835,3.12242317629597,1.34681985597273,0.481923295402488,0.295017682736885,0.683488171806571,2.64782951276272,1.91669873380609
Lafferty PastMaster 1968,22.4347324390596,3.31314005481033,0.372133275638252,1.47555170921679,0.154334342997259,0.184624260781768,0.751478436463291,0.249531227462859,0.125486802250108,9.66248377325833,1.07024376171931,0.115390162988605,0.0951968844655993,0.543776143083802,0.16587335929612,0.150007211885187,1.79864416558488,0.315880571181307,0.271166883023222,0.197605654117986,0.148564834847829,0.634645896437329,0.23078032597721,0.574066060868311,0.0923121303908842,0.426943603057839,0.0548103274195875,4.0040386557046,0.255300735612289,2.47223424203087,0.333189095629598,0.680801961632771,0.0649069666810904,0,0.197605654117986,2.21549112938122,0.116832540025963,0.134141064474254,0.262512620799077,0.0966392615029569,0.0375018029712967,0.426943603057839,0.0504831963075148,0.139910572623684,0.950526467618635,9.45910861099091,2.84580989470648,1.19140343285735,0.294244915620943,0.233665080051926,0.389441800086543,1.85056973892976,2.65397374873792
Laumer DinosaurBeach 1971,26.026091102154,2.56360247908811,0.537424695531574,0.929658041867117,0.160360594634421,0.279547523078923,0.192866120573831,0.288215663329433,0.175529840072812,14.3371039743423,1.44757942183505,0.101850647943484,0.281714558141551,0.552593940969965,0.329389329519352,0.182030945260694,2.12369436137477,0.355393750270879,0.325055259394097,0.351059680145625,0.316387119143588,0.344558574957743,0.431239977462835,0.734624886230659,0.140857279070775,0.546092835782083,0.0476747713778009,6.66146578251636,0.608936852598275,4.36440861613141,0.151692454383912,1.33922766870368,0.101850647943484,0,0.0953495427556018,3.36973952238547,0.143024314133403,0.190699085511204,0.31422008408096,0.140857279070775,0.106184718068738,0.773631517357951,0.0520088415030555,0.210202401074849,1.43891128158454,9.12538464872362,2.23638018463139,1.55376413990378,0.253543102327396,0.355393750270879,0.52442248515581,1.8484809084211,2.35340007801326
LeGuin LeftHandDarkness 1969,24.3975480791727,2.40746806419915,0.493659632211876,0.765055448972907,0.223433625005849,0.185999719245707,0.40007486781152,0.225773244115858,0.113471526835431,12.9638294885593,1.32890365448505,0.116980955500445,0.247999625660942,0.560338776847129,0.125169622385476,0.278414674091058,2.08811005568293,0.203546862570773,0.270226007206027,0.259697721210987,0.462074774226756,0.627017921482383,0.265546768986009,0.843432689158205,0.0994338121753778,0.594263253942258,0.149735623040569,5.36123719058537,0.533433157082027,3.54335314210846,0.249169435215947,0.810678021618081,0.0842262879603201,0,0.140377146600533,3.3421458986477,0.99199850264377,0.138037527490525,0.25267886388096,0.0690187637452623,0.0935847644003556,0.510036965981938,0.0444527630901689,0.132188479715502,1.11014926769922,9.0262505264143,2.17467596275326,1.31603574938,0.285433531421085,0.288942960086098,0.625848111927378,2.11969491366805,2.21561929717842
Leiber SilverEggheads 1961,24.5848870191542,3.09781049813558,0.631035471842432,0.833413009529273,0.387226312266947,0.26930554227619,0.395193931860917,0.382445740510565,0.199190489849253,11.6502533703031,1.07722216910476,0.0876438155336712,0.109953150396787,0.478057175638206,0.278866685788954,0.12270134174714,1.34652771138095,0.231060968225133,0.191222870255283,0.145010676610256,0.272492590113778,0.379258692672977,0.127481913503522,0.970456066545559,0.11473372215317,0.658125378461931,0.197596965930459,5.276157695127,0.393600407942123,3.07709468719125,0.345794690378303,1.15530484112567,0.116327246071964,0,0.188035822417694,2.97988972814482,0.121107817828346,0.184848774580106,0.318704783758804,0.0812697198584951,0.17847467890493,0.631035471842432,0.073302100264525,0.207158109443223,1.18398827166396,9.83682315071549,2.43012397616088,1.35768237881251,0.344201166459509,0.334640022946744,0.514708225770469,2.57513465277114,2.28033272779424
Malzberg Overlay 1972,22.3732529460126,2.40613866812825,0.617520781949392,0.714350963734356,0.233854023933498,0.204622270941811,0.206449255503791,0.188179409883986,0.24116196218142,8.7384671599525,0.908011327304284,0.0950031972229835,0.0968301817849639,0.367223896958071,0.221065131999635,0.127888919338632,0.984744678907463,0.204622270941811,0.153466703206358,0.146158764958436,0.140677811272495,0.24116196218142,0.0986571663469444,0.654060473189001,0.144331780396456,0.317895313784598,0.191833379007947,4.39755184068695,0.369050881520051,3.01087055814378,0.239334977619439,0.60838585913949,0.0511555677354526,0,0.118753996528729,1.7940988398648,0.0602904905453549,0.164428610578241,0.107792089156847,0.0493285831734722,0.104138120032886,0.310587375536677,0.036539691239609,0.0822143052891203,0.878779574312597,11.2286471179319,3.34155476386225,1.90919886726957,0.392801680825797,0.4859778934868,0.500593769982644,2.10651319996346,2.49200694254134
Martin DyingLight 1977,26.4255848322099,3.05752802508741,0.451465234473561,1.28140431820639,0.221677540280431,0.309086976895073,0.218974155642865,0.305482464044984,0.269437335544101,13.7331939588365,1.55174278196302,0.136971488303356,0.28205313051941,0.674945031179036,0.274844104819234,0.182929027141982,2.52496125148686,0.418123490610244,0.333417438633169,0.283855386944454,0.346934361821,0.909238366434776,0.233392207043218,0.60285477417727,0.0621778466640234,0.472191183361569,0.0684857441516779,5.62574343077533,0.478499080849223,3.45222218217208,0.220776412067909,1.29221785675666,0.0684857441516779,0,0.113542154777782,3.42789172043398,0.231589950618174,0.0856071801895974,0.470388926936525,0.0486609234761922,0.136971488303356,0.692967595429478,0.0558699491763688,0.210864001730166,1.49497170457413,9.63486284828606,2.6367011498396,1.04260534188804,0.402804310997369,0.201852719604945,0.432541542010597,2.37627509642072,2.54208268752478
McIntyre Dreamsnake 1978,28.1995195993254,2.90386875862421,0.446670414473348,1.13967394081873,0.349568150457403,0.171717687943987,0.198293044411509,0.319926406705167,0.278019113814075,16.2692288035979,1.941023151224,0.0899473603516124,0.406807379772065,0.817703275923749,0.314815761230643,0.311749373945929,2.34476414371135,0.466090867276537,0.34241324679307,0.330147697654214,0.255532273726172,0.680737977206521,0.269842081054837,0.838145857821843,0.11345632953442,0.601011907803956,0.123677620483467,7.11708488782133,0.524352225686104,3.97403792098942,0.835079470537129,1.69264578116216,0.0204425818980937,0,0.0705269075484234,4.02821076301937,0.528440742065723,0.205447948075842,0.346501763172689,0.201359431696223,0.239178208207697,0.597945520519242,0.0623498747891859,0.371032861450401,1.47595441304237,9.02642203710329,2.13011703378137,1.09878877702254,0.494710481933868,0.173761946133797,0.542750549394389,2.45822047324577,2.12807277559156
Norton DreadCompanion 1970,24.7809881379911,2.31118728915007,0.300631189465665,0.99439547284797,0.285667646098596,0.278866035477201,0.199967352269017,0.136032212427903,0.115627380563717,13.4005332462727,1.33855697029056,0.103384481445206,0.267983458482969,0.477473065621939,0.28022635760148,0.20948960713897,1.86500163238655,0.284307323974317,0.267983458482969,0.239416693873109,0.170040265534879,0.738654913483513,0.164598977037763,0.734573947110676,0.107465447818043,0.582217869191424,0.044890630101208,6.17586244422679,0.46250952225487,3.79121776036565,0.193165741647622,1.58069430841223,0.0176841876156274,0,0.130590923930787,3.28653825225813,0.22445315050604,0.161878332789205,0.269343780607248,0.159157688540646,0.0870606159538579,0.56045271520296,0.044890630101208,0.281586679725759,1.49771465883121,9.06926760256829,2.51931657416476,1.33447600391773,0.257100881488737,0.289748612471433,0.725051692240723,1.68271846773316,2.26085537055175
