,Regressive Imagery Dictionary,Regressive Imagery Dictionary>emotions,Regressive Imagery Dictionary>emotions>affection,Regressive Imagery Dictionary>emotions>aggression,Regressive Imagery Dictionary>emotions>anxiety,Regressive Imagery Dictionary>emotions>expressive_beh,Regressive Imagery Dictionary>emotions>glory,Regressive Imagery Dictionary>emotions>positive_affect,Regressive Imagery Dictionary>emotions>sadness,Regressive Imagery Dictionary>primary,Regressive Imagery Dictionary>primary>defensive_symbol,Regressive Imagery Dictionary>primary>defensive_symbol>chaos,Regressive Imagery Dictionary>primary>defensive_symbol>diffusion,Regressive Imagery Dictionary>primary>defensive_symbol>passivity,Regressive Imagery Dictionary>primary>defensive_symbol>random movement,Regressive Imagery Dictionary>primary>defensive_symbol>voyage,Regressive Imagery Dictionary>primary>icarian_im,Regressive Imagery Dictionary>primary>icarian_im>ascend,Regressive Imagery Dictionary>primary>icarian_im>depth,Regressive Imagery Dictionary>primary>icarian_im>descent,Regressive Imagery Dictionary>primary>icarian_im>fire,Regressive Imagery Dictionary>primary>icarian_im>height,Regressive Imagery Dictionary>primary>icarian_im>water,Regressive Imagery Dictionary>primary>need,Regressive Imagery Dictionary>primary>need>anality,Regressive Imagery Dictionary>primary>need>orality,Regressive Imagery Dictionary>primary>need>sex,Regressive Imagery Dictionary>primary>regr_knol,Regressive Imagery Dictionary>primary>regr_knol>brink-passage,Regressive Imagery Dictionary>primary>regr_knol>concreteness,Regressive Imagery Dictionary>primary>regr_knol>counscious,Regressive Imagery Dictionary>primary>regr_knol>narcissism,Regressive Imagery Dictionary>primary>regr_knol>timelessnes,Regressive Imagery Dictionary>primary>regr_knol>timelessnes>test5,Regressive Imagery Dictionary>primary>regr_knol>unknow,Regressive Imagery Dictionary>primary>sensation,Regressive Imagery Dictionary>primary>sensation>cold,Regressive Imagery Dictionary>primary>sensation>gen_sensation,Regressive Imagery Dictionary>primary>sensation>hard,Regressive Imagery Dictionary>primary>sensation>odor,Regressive Imagery Dictionary>primary>sensation>soft,Regressive Imagery Dictionary>primary>sensation>sound,Regressive Imagery Dictionary>primary>sensation>taste,Regressive Imagery Dictionary>primary>sensation>touch,Regressive Imagery Dictionary>primary>sensation>vision,Regressive Imagery Dictionary>secondary,Regressive Imagery Dictionary>secondary>abstract_tought,Regressive Imagery Dictionary>secondary>instru_behavior,Regressive Imagery Dictionary>secondary>moral_imperative,Regressive Imagery Dictionary>secondary>order,Regressive Imagery Dictionary>secondary>restraint,Regressive Imagery Dictionary>secondary>social_behavior,Regressive Imagery Dictionary>secondary>temporal_repere
LeGuin LatheHeaven 1971 Def,24.7859316396575,2.37952020380723,0.543132120869011,0.801429481282287,0.321987120515179,0.129148680206638,0.222914160356663,0.21583752034534,0.145071120232114,12.0055197792088,1.01372868162197,0.123841200198146,0.113226240181162,0.527209680843535,0.145071120232114,0.104380440167009,1.5639374425023,0.203453400325525,0.27068148043309,0.159224400254759,0.222914160356663,0.422829240676527,0.284834760455736,0.601514400962423,0.0973038001556861,0.477673200764277,0.0265374000424598,6.3247470101196,0.605052720968084,3.06064680489703,1.5869365225391,0.914655721463449,0.061920600099073,0,0.0955346401528554,2.50159224400255,0.137994480220791,0.199915080319864,0.178685160285896,0.0689972401103956,0.0866888401387022,0.461750760738801,0.0247682400396292,0.118533720189654,1.22425872195881,10.4008916566414,2.73865968438186,1.59224400254759,0.445828320713325,0.447597480716156,0.612129360979407,2.08583964333734,2.47859316396575
Leiber Wanderer 1964 Def,27.9035910708509,2.88831374240627,0.464610517991301,0.921133038570761,0.178834609439592,0.474495848161329,0.398109205938387,0.292066573205363,0.159063949099536,17.141162514828,1.88719939609619,0.104245299974837,0.272295912865308,0.504151838671412,0.461015852474927,0.545490492109709,3.28282828282828,0.443042524893059,0.399007872317481,0.302850569754484,0.340594557676408,1.12513030662497,0.672202451561882,0.814191739458643,0.10244796721665,0.632661130881771,0.0790826413602214,7.18124303533556,0.763866422229412,4.68115316869765,0.272295912865308,1.24824760056077,0.0404399870592041,0,0.175239943923218,3.97570006110931,0.226463927531543,0.126711959452173,0.323519896473633,0.0880693051511557,0.148279952550415,0.567058485207951,0.054818649124699,0.256119918041626,2.18465796757612,7.87411481361659,2.18286063481793,0.822279736870484,0.29655990510083,0.218375930119702,0.474495848161329,1.74341277544125,2.13612998310507
Malzberg FallingAstronauts 1971 Def,22.4621729962694,2.07614060291494,0.509766665894293,0.66037954445397,0.271103181407419,0.132075908890794,0.169149848228561,0.243297726904094,0.0903677271358065,8.64981347174271,0.915262877401117,0.0324396969205459,0.120490302847742,0.347568181291563,0.199272423940496,0.215492272400769,0.838797877516973,0.180735454271613,0.169149848228561,0.155247120976898,0.0950019695530273,0.178418333063003,0.060245151423871,0.451838635679032,0.0625622726324814,0.183052575480223,0.206223787566328,4.75009847765137,0.352202423708784,3.45251060082953,0.203906666357717,0.644159695993697,0.0393910605463772,0,0.0579280302152606,1.69381560349422,0.0393910605463772,0.155247120976898,0.1112218180133,0.0301225757119355,0.0556109090066501,0.366105150960447,0.0278054545033251,0.118173181639132,0.790138332136154,11.7362189216118,3.62861181268392,1.38563848274903,0.414764696341266,0.403179090298214,0.60245151423871,2.95432954097829,2.34724378432236
Martin Song4Lya 1974 Def,25.5008779433614,3.54328936112737,0.859934266804736,0.868938814101121,0.319661429021656,0.162081851334924,0.279140966187925,0.702354689118005,0.351177344559002,11.6068614650398,1.30115708432759,0.108054567556616,0.189095493224078,0.499752374949349,0.279140966187925,0.225113682409617,1.77389581738778,0.193597766872271,0.373688712799964,0.139570483093962,0.202602314168655,0.630318310746927,0.234118229706002,0.760884246544505,0.0585295574265004,0.567286479672234,0.13506820944577,4.80842825626942,0.369186439151772,3.02552789158525,0.283643239836117,0.98149565530593,0.040520462833731,0,0.108054567556616,2.96249606051056,0.157579577686732,0.171086398631309,0.261131871595156,0.0585295574265004,0.162081851334924,0.648327405339697,0.0720363783710774,0.184593219575886,1.24712980054928,10.3507271171942,3.10656881725271,1.13007068569628,0.337670523614425,0.337670523614425,0.342172797262618,2.51226869569132,2.5843050740624
McIntyre Screwtop 1979 Def,26.9112988384372,2.95142555438226,0.42766631467793,1.19324181626188,0.454065469904963,0.179514255543823,0.174234424498416,0.295670538542767,0.227032734952482,14.0179514255544,1.40971488912355,0.0739176346356917,0.364308342133052,0.654699049630412,0.216473072861668,0.100316789862724,2.26504751847941,0.216473072861668,0.42766631467793,0.295670538542767,0.263991552270327,0.549102428722281,0.512143611404435,0.770855332629356,0.285110876451954,0.401267159450898,0.0844772967265048,6.14572333685322,0.44350580781415,3.83315733896515,0.374868004223865,1.42555438225977,0.0211193241816262,0,0.0475184794086589,3.42661034846885,0.237592397043295,0.158394931362196,0.263991552270327,0.126715945089757,0.174234424498416,0.517423442449842,0.058078141499472,0.285110876451954,1.60506863780359,9.94192185850053,2.59767687434002,1.42555438225977,0.422386483632524,0.279831045406547,1.13516367476241,1.95353748680042,2.12777191129884
Norton Xfactor 1965 Def,26.0732235097026,2.22846572665084,0.225115175205919,1.13255619153986,0.237330727348876,0.223370096328354,0.181488203266788,0.108194890409046,0.120410442552003,15.2118525757364,1.67178556470752,0.12913583693983,0.321094513472009,0.577621108474103,0.326329750104705,0.317604355716878,2.57399134440877,0.317604355716878,0.331564986737401,0.26176183163479,0.636953790311322,0.725952813067151,0.300153566941226,0.640443948066453,0.157057098980874,0.450230350411839,0.0331564986737401,6.92796314393411,1.02610638000838,4.04858299595142,0.29491833030853,1.41874912746056,0.0314114197961748,0,0.108194890409046,3.39766857461957,0.39438782632975,0.109939969286612,0.378682116431663,0.13262599469496,0.0750383917353064,0.565405556331146,0.0453720508166969,0.26525198938992,1.43096467960352,8.63290520731537,2.4867374005305,1.48331704593048,0.254781516124529,0.233840569593746,0.6229931592908,1.32102471031691,2.23021080552841
Pohl PlaguePythons 1965 Def,24.4114962241708,3.09258388426323,0.716439379270283,1.244778844292,0.212995491134408,0.260020469696551,0.190866089458106,0.246189593648862,0.221294016763022,11.5183535725153,1.19775386572986,0.143841110895964,0.0636220298193688,0.53387181544079,0.257254294487013,0.19916461508672,1.60438162153191,0.354070426820835,0.146607286105502,0.196398439877182,0.320876324306382,0.381732178916213,0.204696965505795,0.710907028851208,0.105114657962435,0.511742413764488,0.0940499571242843,5.62363420099029,0.569832093164781,3.50751016569389,0.221294016763022,1.20052004093939,0.0165970512572266,0,0.107880833171973,2.38167685541202,0.121711709219662,0.130010234848275,0.141074935686426,0.0995823075433598,0.105114657962435,0.390030704544826,0.0276617520953777,0.160438162153191,1.20605239135847,9.80055876739233,2.77170755995685,1.70673010428481,0.362368952449448,0.212995491134408,0.619623246936461,1.67906835218943,2.44806506044093
Randall Islands 1976 Def,26.5106354897605,2.43945359758914,0.424539715360419,0.774290050812785,0.233166890301577,0.292558456699149,0.270561580255604,0.261762829678186,0.182574074481424,15.307626317063,1.81474230659246,0.0835881304854711,0.226567827368514,0.833681617210356,0.345350960163657,0.325553771364466,2.56043641802864,0.523525659356371,0.340951584874948,0.347550647808011,0.24416532852335,0.479531906469281,0.624711290996678,0.81608411605552,0.0945865687072436,0.556520974021689,0.164976573326588,6.78163700754493,1.05145069400145,3.91984338223972,0.213369701502387,1.21202789203933,0.26396251732254,0,0.120982820439498,3.33472646884142,0.281560018477376,0.182574074481424,0.327753459008821,0.0813884428411166,0.0989859439959526,0.501528782912826,0.035195002309672,0.257363454389477,1.56837729042476,8.76355557510833,2.06990607333759,1.60357229273443,0.252964079100768,0.301357207276567,0.519126284067662,1.94012450232067,2.07650513627065
Russ WeWhoAreAboutTo 1976 Def,26.3115237253168,3.30828175655762,0.758915414087828,1.01679929266136,0.261567933981727,0.327880931329207,0.515767757147067,0.272620100206307,0.15473032714412,12.385794282346,1.17152961980548,0.0663129973474801,0.14367816091954,0.589448865310934,0.195254936634247,0.17683465959328,2.16990863542588,0.250515767757147,0.335249042145594,0.28735632183908,0.28735632183908,0.589448865310934,0.419982316534041,0.803124078986148,0.125257883878574,0.596816976127321,0.0810492189802535,5.57397583259652,0.26525198938992,3.58090185676393,0.419982316534041,1.13468906572355,0.0589448865310934,0,0.114205717653994,2.66725611553198,0.24314765694076,0.128941939286767,0.268936044798114,0.0957854406130268,0.0921013852048335,0.607869142351901,0.0331564986737401,0.12157382847038,1.07574417919246,10.6174476864132,2.91777188328912,1.3815207780725,0.357353374594754,0.206307102858827,0.523135867963454,2.91777188328912,2.31358679634542
Schmitz WitchesKarres 1966 Def,26.2690312678549,2.39410268762393,0.434680319512441,0.785337381387168,0.262152563829668,0.224062020367238,0.309205588106788,0.181490236497462,0.197174577923169,13.0034393520126,1.84066949731686,0.0817826374340417,0.348416441671055,0.488455204400578,0.300243107292098,0.621772106519084,1.57179507287617,0.243107292098453,0.200535508228678,0.145640313238704,0.300243107292098,0.564636291325439,0.1176325606928,0.389867915438994,0.0369702333605942,0.329371169939839,0.02352651213856,6.06199796103561,0.563515981223603,4.24485497585732,0.217340159756221,0.880563740043244,0.02352651213856,0,0.13219659201667,3.139108905345,0.152362173849722,0.220701090061729,0.174768375886445,0.0862638778413865,0.0806623273322056,0.688990712629256,0.0201655818330514,0.197174577923169,1.51802018798804,10.8714892282184,2.91168595467225,1.4519218919797,0.348416441671055,0.371942953809614,0.779735830877987,2.18908593898791,2.81870021621985
